,race_id,season,race_number,date,site,cars,winner,start,make/model,len,sfc,miles,purse,pole,cautions,caution_laps,speed,lc,href
18,18,2002,19,2002-07-21,Loudon,43,Ward Burton,31,Dodge,1.058,P,317,3222384.0,131.469,14,77,92.342,23,https://www.racing-reference.info/race-results/2002_New_England_300/W
19,19,2002,20,2002-07-28,Pocono,43,Bill Elliott,1,Dodge,2.5,P,438,2885774.0,170.568,5,29,125.809,17,https://www.racing-reference.info/race-results/2002_Pennsylvania_500/W
20,20,2002,21,2002-08-04,Indianapolis,43,Bill Elliott,2,Dodge,2.5,P,400,6255321.0,182.96,8,36,125.033,16,https://www.racing-reference.info/race-results/2002_Brickyard_400/W
21,21,2002,22,2002-08-11,Watkins Glen,43,Tony Stewart,3,Pontiac,2.45,R,221,2822353.0,122.696,7,18,82.208,12,https://www.racing-reference.info/race-results/2002_Sirius_Satellite_Radio_at_the_Glen/W
22,22,2002,23,2002-08-18,Michigan,43,Dale Jarrett,8,Ford,2.0,P,400,3031889.0,189.668,7,30,140.556,23,https://www.racing-reference.info/race-results/2002_Pepsi_400_Presented_by_Farmer_Jack/W
23,23,2002,24,2002-08-24,Bristol,43,Jeff Gordon,1,Chevrolet,0.533,P,267,3678797.0,124.034,15,118,77.097,10,https://www.racing-reference.info/race-results/2002_Sharpie_500/W
24,24,2002,25,2002-09-01,Darlington,43,Jeff Gordon,3,Chevrolet,1.366,P,501,3194462.0,,9,63,118.617,14,https://www.racing-reference.info/race-results/2002_Mountain_Dew_Southern_500/W
25,25,2002,26,2002-09-07,Richmond,43,Matt Kenseth,25,Ford,0.75,P,300,2975282.0,126.145,10,65,94.787,14,https://www.racing-reference.info/race-results/2002_Chevrolet_Monte_Carlo_400/W
26,26,2002,27,2002-09-15,Loudon,43,Ryan Newman,1,Ford,1.058,P,219,3222384.0,132.241,3,24,105.081,7,https://www.racing-reference.info/race-results/2002_New_Hampshire_300/W
27,27,2002,28,2002-09-22,Dover,43,Jimmie Johnson,19,Chevrolet,1.0,P,400,3203610.0,156.822,6,37,120.805,15,https://www.racing-reference.info/race-results/2002_MBNA_All-American_Heroes_400/W
28,28,2002,29,2002-09-29,Kansas,43,Jeff Gordon,10,Chevrolet,1.5,P,401,3631918.0,177.924,11,52,119.394,13,https://www.racing-reference.info/race-results/2002_Protection_One_400/W
29,29,2002,30,2002-10-06,Talladega,43,"Dale Earnhardt, Jr.",13,Chevrolet,2.66,P,500,3209957.0,,0,0,183.665,35,https://www.racing-reference.info/race-results/2002_EA_Sports_500/W
30,30,2002,31,2002-10-13,Charlotte,43,Jamie McMurray,5,Dodge,1.5,P,501,3085520.0,,5,33,141.481,23,https://www.racing-reference.info/race-results/2002_UAW-GM_Quality_500/W
31,31,2002,32,2002-10-20,Martinsville,43,Kurt Busch,36,Ford,0.526,P,263,2758230.0,92.837,12,65,74.651,12,https://www.racing-reference.info/race-results/2002_Old_Dominion_500/W
32,32,2002,33,2002-10-27,Atlanta,43,Kurt Busch,8,Ford,1.54,P,382,3727170.0,,5,50,127.519,19,https://www.racing-reference.info/race-results/2002_NAPA_500/W
33,33,2002,34,2002-11-03,Rockingham,43,"Johnny Benson, Jr.",26,Pontiac,1.017,P,400,2924042.0,155.836,4,22,128.526,22,https://www.racing-reference.info/race-results/2002_Pop_Secret_Microwave_Popcorn_400/W
34,34,2002,35,2002-11-10,Phoenix,43,Matt Kenseth,28,Ford,1.0,P,312,3648023.0,132.655,4,18,113.857,14,https://www.racing-reference.info/race-results/2002_Checker_Auto_Parts_500_Presented_by_Pennzoil/W
35,35,2002,36,2002-11-17,Homestead,43,Kurt Busch,1,Ford,1.5,P,401,3349939.0,154.365,6,41,116.462,12,https://www.racing-reference.info/race-results/2002_Ford_400/W
36,36,2003,1,2003-02-16,Daytona,43,Michael Waltrip,4,Chevrolet,2.5,P,273,11995846.0,186.606,5,23,133.87,11,https://www.racing-reference.info/race-results/2003_Daytona_500/W
37,37,2003,2,2003-02-23,Rockingham,43,Dale Jarrett,9,Ford,1.017,P,400,3152468.0,154.683,7,46,117.852,20,https://www.racing-reference.info/race-results/2003_Subway_400/W
38,38,2003,3,2003-03-02,Las Vegas,43,Matt Kenseth,17,Ford,1.5,P,401,4524963.0,173.016,6,30,132.934,17,https://www.racing-reference.info/race-results/2003_UAW-Daimler_Chrysler_400/W
39,39,2003,4,2003-03-09,Atlanta,43,Bobby Labonte,4,Chevrolet,1.54,P,501,3281499.0,191.417,7,34,146.048,23,https://www.racing-reference.info/race-results/2003_Bass_Pro_Shops_MBNA_500_%28March%29/W
40,40,2003,5,2003-03-16,Darlington,43,Ricky Craven,31,Pontiac,1.366,P,400,3087374.0,170.147,7,33,126.214,15,https://www.racing-reference.info/race-results/2003_Carolina_Dodge_Dealers_400/W
41,41,2003,6,2003-03-23,Bristol,43,Kurt Busch,9,Ford,0.533,P,267,3720193.0,128.709,17,121,76.185,11,https://www.racing-reference.info/race-results/2003_Food_City_500/W
42,42,2003,7,2003-03-30,Fort Worth,43,Ryan Newman,3,Dodge,1.5,P,501,5019723.0,193.514,10,52,134.517,19,https://www.racing-reference.info/race-results/2003_Samsung_Radio_Shack_500/W
43,43,2003,8,2003-04-06,Talladega,43,"Dale Earnhardt, Jr.",13,Chevrolet,2.66,P,500,4183236.0,186.489,6,32,144.625,43,https://www.racing-reference.info/race-results/2003_Aaron%27s_499/W
44,44,2003,9,2003-04-13,Martinsville,43,Jeff Gordon,1,Chevrolet,0.526,P,263,3200586.0,94.307,11,64,75.557,14,https://www.racing-reference.info/race-results/2003_Virginia_500/W
45,45,2003,10,2003-04-27,Fontana,43,Kurt Busch,16,Ford,2.0,P,500,4235281.0,186.838,8,34,140.111,19,https://www.racing-reference.info/race-results/2003_Auto_Club_500/W
46,46,2003,11,2003-05-03,Richmond,43,Joe Nemechek,2,Chevrolet,0.75,P,295,3309595.0,126.511,15,91,86.783,20,https://www.racing-reference.info/race-results/2003_Pontiac_Excitement_400/W
47,47,2003,12,2003-05-25,Charlotte,43,Jimmie Johnson,37,Chevrolet,1.5,P,414,4649640.0,185.312,8,46,126.198,16,https://www.racing-reference.info/race-results/2003_Coca-Cola_600/W
48,48,2003,13,2003-06-01,Dover,43,Ryan Newman,1,Dodge,1.0,P,400,3830083.0,158.716,9,68,106.896,16,https://www.racing-reference.info/race-results/2003_MBNA_Armed_Forces_Family_400/W
49,49,2003,14,2003-06-08,Pocono,43,Tony Stewart,4,Chevrolet,2.5,P,500,3245776.0,170.645,5,25,134.892,28,https://www.racing-reference.info/race-results/2003_Pocono_500/W
50,50,2003,15,2003-06-15,Michigan,43,Kurt Busch,4,Ford,2.0,P,400,3407975.0,190.365,9,41,131.219,22,https://www.racing-reference.info/race-results/2003_Sirius_400/W
51,51,2003,16,2003-06-22,Sonoma,43,Robby Gordon,2,Chevrolet,1.99,R,219,3621824.0,93.62,6,16,73.821,6,https://www.racing-reference.info/race-results/2003_Dodge_Save_Mart_350/W
52,52,2003,17,2003-07-05,Daytona,43,Greg Biffle,30,Ford,2.5,P,400,4089419.0,184.752,2,10,166.109,17,https://www.racing-reference.info/race-results/2003_Pepsi_400/W
53,53,2003,18,2003-07-13,Chicago,43,Ryan Newman,14,Dodge,1.5,P,401,4027502.0,184.786,7,36,134.059,13,https://www.racing-reference.info/race-results/2003_Tropicana_400/W
54,54,2003,19,2003-07-20,Loudon,43,Jimmie Johnson,6,Chevrolet,1.058,P,317,3540335.0,,12,63,96.924,14,https://www.racing-reference.info/race-results/2003_New_England_300/W
55,55,2003,20,2003-07-27,Pocono,43,Ryan Newman,1,Dodge,2.5,P,500,3245776.0,170.358,8,36,127.705,18,https://www.racing-reference.info/race-results/2003_Pennsylvania_500/W
56,56,2003,21,2003-08-03,Indianapolis,43,Kevin Harvick,1,Chevrolet,2.5,P,400,6698237.0,184.343,5,25,134.554,17,https://www.racing-reference.info/race-results/2003_Brickyard_400/W
57,57,2003,22,2003-08-10,Watkins Glen,43,Robby Gordon,14,Chevrolet,2.45,R,221,3123816.0,124.58,6,14,90.441,8,https://www.racing-reference.info/race-results/2003_Sirius_Satellite_Radio_at_the_Glen/W
58,58,2003,23,2003-08-17,Michigan,43,Ryan Newman,2,Dodge,2.0,P,400,3405184.0,190.24,8,46,127.31,14,https://www.racing-reference.info/race-results/2003_GFS_Marketplace_400/W
59,59,2003,24,2003-08-23,Bristol,43,Kurt Busch,5,Ford,0.533,P,267,4103475.0,127.597,20,119,77.421,11,https://www.racing-reference.info/race-results/2003_Sharpie_500/W
60,60,2003,25,2003-08-31,Darlington,43,Terry Labonte,3,Chevrolet,1.366,P,501,3574324.0,169.048,10,55,120.733,24,https://www.racing-reference.info/race-results/2003_Mountain_Dew_Southern_500/W
61,61,2003,26,2003-09-06,Richmond,43,Ryan Newman,4,Dodge,0.75,P,300,3325995.0,125.792,14,76,94.945,20,https://www.racing-reference.info/race-results/2003_Chevy_Rock_and_Roll_400/W
62,62,2003,27,2003-09-14,Loudon,43,Jimmie Johnson,8,Chevrolet,1.058,P,317,3551275.0,133.357,6,38,106.58,20,https://www.racing-reference.info/race-results/2003_Sylvania_300/W
63,63,2003,28,2003-09-21,Dover,43,Ryan Newman,5,Dodge,1.0,P,400,3570445.0,,7,63,108.802,13,https://www.racing-reference.info/race-results/2003_MBNA_America_400/W
64,64,2003,29,2003-09-28,Talladega,43,Michael Waltrip,18,Chevrolet,2.66,P,500,3562312.0,189.943,5,23,156.045,41,https://www.racing-reference.info/race-results/2003_EA_Sports_500/W
65,65,2003,30,2003-10-05,Kansas,43,Ryan Newman,11,Dodge,1.5,P,401,4015302.0,180.373,9,47,121.63,23,https://www.racing-reference.info/race-results/2003_Banquet_400_Presented_by_ConAgra_Foods/W
66,66,2003,31,2003-10-11,Charlotte,43,Tony Stewart,6,Chevrolet,1.5,P,501,3503369.0,186.657,5,31,142.871,15,https://www.racing-reference.info/race-results/2003_UAW-GM_Quality_500/W
67,67,2003,32,2003-10-19,Martinsville,43,Jeff Gordon,1,Chevrolet,0.526,P,263,3131566.0,93.65,15,119,67.658,9,https://www.racing-reference.info/race-results/2003_Subway_500/W
