,date,tavg,tmin,tmax,prcp,snow,wspd,pres,site
135,2007-05-13,20.3,17.2,23.9,0.3,0.0,11.3,1016.5604819277108,Darlington
136,2007-05-27,23.1,15.0,30.6,0.0,0.0,8.3,1022.1,Charlotte
137,2007-06-17,24.5,18.9,30.0,0.0,0.0,2.8,1015.3,Michigan
138,2007-06-24,18.9,8.3,30.0,0.0,0.0,10.3,1012.3,Sonoma
139,2007-07-01,26.2,21.1,32.2,0.0,0.0,11.5,1016.0,Loudon
140,2007-07-07,27.7,23.9,34.4,0.0,0.0,7.9,1015.8,Daytona
141,2007-07-15,22.3,17.8,26.7,0.0,0.0,11.1,1011.6,Chicago
142,2007-07-29,25.0,19.4,30.0,0.0,0.0,14.4,1012.5,Indianapolis
143,2007-08-12,20.6,12.2,29.4,0.0,0.0,3.7,1017.2,Watkins Glen
144,2007-08-21,18.4,15.0,22.2,0.3,0.0,7.8,1015.5,Michigan
145,2007-08-25,26.6,20.0,34.4,0.3,0.0,4.7,1014.5,Bristol
146,2007-09-02,32.8,22.8,42.8,0.0,0.0,6.2,1007.8,Fontana
147,2007-09-08,24.0,18.3,30.6,0.0,0.0,8.6,1020.0,Richmond
148,2007-09-16,17.6,10.6,25.6,0.0,0.0,5.0,1021.6,Loudon
149,2007-09-30,22.0,17.2,29.4,0.8,0.0,22.7,1014.7,Kansas
150,2007-10-13,14.7,5.6,22.2,0.0,0.0,4.7,1016.8,Charlotte
151,2007-10-21,13.6,3.0,26.0,0.0,0.0,2.3,1016.5604819277108,Martinsville
152,2007-10-28,13.9,6.7,21.7,0.0,0.0,4.4,1027.0,Atlanta
153,2007-11-04,19.9,13.3,27.8,0.0,0.0,11.9,1020.2,Fort Worth
154,2007-11-11,20.5,14.4,26.1,0.0,0.0,6.5,1010.0,Phoenix
155,2007-11-18,21.2,17.2,27.2,0.0,0.0,9.5,1019.7,Homestead
156,2008-02-17,20.2,12.8,27.8,0.0,0.0,10.1,1016.6,Daytona
157,2008-02-25,12.0,7.2,18.3,0.0,0.0,2.2,1022.3,Fontana
158,2008-03-02,12.1,8.9,15.6,0.0,0.0,28.6,1019.4,Las Vegas
159,2008-03-09,,-2.2,12.8,0.0,0.0,6.1,1016.5604819277108,Atlanta
160,2008-03-16,6.4,3.0,8.0,0.0,0.0,9.5,1019.9,Bristol
161,2008-03-30,4.2,3.0,6.0,0.0,0.0,6.3,1016.5604819277108,Martinsville
162,2008-04-06,17.9,9.4,27.2,0.0,0.0,16.6,1009.0,Fort Worth
163,2008-04-12,23.0,16.1,30.0,0.0,0.0,11.2,1018.3,Phoenix
